# run_id=20260907-1433 git=3218a88 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 7 --dataset fifa --k 100 --algo HAUSP-UB --repeats 1 --mem-mode live --results-dir results-2026-09/mem --timeout 90 --resume
Timestamp,Algorithm,Dataset,BatchID,RunIndex,MinUtil,mu,DeltaRatio,TotalDBUtil,CumulativeDBSize,tScan(ms),tMining(ms),tTotal(ms),tLayer1(ms),tLayer2(ms),tLayer3(ms),Cand,PrunedL1(SWU),PrunedL2(IAUUB),PrunedL3(MFUUB),TightnessPEAU,TightnessIAUUB,TightnessMFUUB,HAUSP,SHAUS,MemPeak(MB),PoolBorrows,PoolReuses,PoolPeakLive,AudulActive,Status,Recursed,ArmOrder,Schedule,PoolBytes,FlatBytes,EucsBytes,AudulRootBytes,RescanTriggered,BufferUtil,BufferTested,SafetyBound,PrunedL3Node,PrunedL1Root,MemMode,MemLive(MB),MemRetained(MB),GcForced,RunID
# run_id=20260907-1448 git=45d7065 jvm=26.0.1 heap=24g host=ThaiTMs-MacBook-Pro.local tree=clean cmd=--exp 7 --dataset fifa --k 100 --algo HAUSP-UB --repeats 1 --mem-mode live --results-dir results-2026-09/mem --timeout 90 --resume
2026-09-07 14:48:17,HAUSP-UB,FIFA,0,0,0.012000,0.000,0.010,383134,205,17,372,389,3,35,14,3906366,620,3869933,1273,0.000000,0.136320,0.136634,2890,0,283.65,3906794,3905502,1292,999,SUCCESS,36176,0,equal,214528,234592,155107840,224896,,,,,1208,192,live,278.12,278.12,1,20260907-1448
2026-09-07 14:48:18,HAUSP-UB,FIFA,1,0,0.012000,0.000,0.010,762304,410,5,1074,1080,0,51,27,11008582,900,10936609,316,0.000000,0.095044,0.095190,809,0,283.68,11008248,11007997,544,1225,SUCCESS,71678,0,equal,61952,475776,155107840,592128,,,,,256,235,live,279.10,279.10,2,20260907-1448
2026-09-07 14:48:20,HAUSP-UB,FIFA,2,0,0.012000,0.000,0.010,1109551,615,1,1897,1899,0,63,32,13891854,1066,13806731,233,0.000000,0.097001,0.097127,329,0,284.71,13891478,13891318,478,1377,SUCCESS,84828,0,equal,1087488,721312,155107840,1041024,,,,,155,217,live,280.33,280.33,2,20260907-1448
2026-09-07 14:48:23,HAUSP-UB,FIFA,3,0,0.012000,0.000,0.010,1487361,820,1,2745,2746,0,74,37,16401195,1238,16304894,222,0.000000,0.096753,0.096868,305,0,287.05,16400842,16400664,504,1553,SUCCESS,95996,0,equal,1270784,970720,155107840,1920128,,,,,131,214,live,281.63,281.63,3,20260907-1448
2026-09-07 14:48:27,HAUSP-UB,FIFA,4,0,0.012000,0.000,0.010,1861597,1025,1,3447,3449,0,76,38,16561501,1348,16462547,222,0.000000,0.095702,0.095818,315,0,288.35,16561087,16560982,433,1654,SUCCESS,98643,0,equal,1779712,1212960,155107840,2454144,,,,,120,209,live,283.06,283.06,4,20260907-1448
2026-09-07 14:48:31,HAUSP-UB,FIFA,5,0,0.012000,0.000,0.010,2216506,1230,1,4114,4115,0,77,38,16354940,1433,16255519,215,0.000000,0.099483,0.099594,273,0,288.66,16354503,16354429,406,1736,SUCCESS,99105,0,equal,2322432,1454112,155107840,3101184,,,,,115,216,live,284.42,284.42,5,20260907-1448
2026-09-07 14:48:37,HAUSP-UB,FIFA,6,0,0.012000,0.000,0.010,2599922,1435,2,5479,5481,0,89,44,18549069,1525,18434131,205,0.000000,0.098622,0.098716,428,0,289.00,18548652,18548556,420,1823,SUCCESS,114634,0,equal,2715648,1701280,155107840,3937280,,,,,107,206,live,285.64,285.64,6,20260907-1448
2026-09-07 14:48:44,HAUSP-UB,FIFA,7,0,0.012000,0.000,0.010,2995001,1640,0,6946,6947,0,100,49,20666618,1590,20538217,231,0.000000,0.095442,0.095538,380,0,290.31,20666181,20666110,404,1886,SUCCESS,128073,0,equal,2908160,1957312,155107840,4793472,,,,,107,204,live,286.95,286.95,7,20260907-1448
2026-09-07 14:48:52,HAUSP-UB,FIFA,8,0,0.012000,0.000,0.010,3383967,1845,0,7444,7445,0,98,47,19866210,1672,19744021,204,0.000000,0.095190,0.095287,313,0,293.68,19865799,19865699,441,1977,SUCCESS,121901,0,equal,3112960,2210304,155107840,5681152,,,,,113,197,live,288.85,288.85,8,20260907-1448
2026-09-07 14:49:00,HAUSP-UB,FIFA,9,0,0.012000,0.000,0.010,3763910,2050,0,7951,7952,0,95,45,19078513,1716,18960982,229,0.000000,0.094800,0.094906,274,0,295.03,19078060,19078011,399,2030,SUCCESS,117239,0,equal,4505600,2456544,155107840,6388864,,,,,129,192,live,290.56,290.56,8,20260907-1448
2026-09-07 14:49:09,HAUSP-UB,FIFA,10,0,0.012000,0.000,0.010,4129011,2255,0,8543,8544,0,95,45,18594492,1716,18478463,270,0.000000,0.095906,0.096015,216,0,296.32,18593996,18593992,350,2044,SUCCESS,115713,0,equal,5242880,2709472,155107840,6695808,,,,,136,182,live,291.84,291.84,9,20260907-1448
2026-09-07 14:49:19,HAUSP-UB,FIFA,11,0,0.012000,0.000,0.010,4527573,2460,0,9589,9590,0,98,46,19037458,1770,18919495,271,0.000000,0.095115,0.095227,202,0,298.33,19037002,19036952,386,2094,SUCCESS,117641,0,equal,5349376,2967232,155107840,7600512,,,,,131,182,live,293.23,293.23,10,20260907-1448
2026-09-07 14:49:30,HAUSP-UB,FIFA,12,0,0.012000,0.000,0.010,4895113,2665,0,10757,10757,0,103,48,19902624,1813,19779780,277,0.000000,0.094890,0.095003,211,0,299.30,19902159,19902122,373,2131,SUCCESS,122509,0,equal,5455872,3215552,155107840,8373504,,,,,126,184,live,294.18,294.18,11,20260907-1448
